SOUNDFONT INSTRUMENT MAP
File: FluidR3 GM.sf2
Total Instruments: 189
============================================================

--- BANK 000 : General MIDI (Melodic) ---
  Program 000 | Yamaha Grand Piano
  Program 001 | Bright Yamaha Grand
  Program 002 | Electric Piano
  Program 003 | Honky Tonk
  Program 004 | Rhodes EP
  Program 005 | Legend EP 2
  Program 006 | Harpsichord
  Program 007 | Clavinet
  Program 008 | Celesta
  Program 009 | Glockenspiel
  Program 010 | Music Box
  Program 011 | Vibraphone
  Program 012 | Marimba
  Program 013 | Xylophone
  Program 014 | Tubular Bells
  Program 015 | Dulcimer
  Program 016 | DrawbarOrgan
  Program 017 | Percussive Organ
  Program 018 | Rock Organ
  Program 019 | Church Organ
  Program 020 | Reed Organ
  Program 021 | Accordian
  Program 022 | Harmonica
  Program 023 | Bandoneon
  Program 024 | Nylon String Guitar
  Program 025 | Steel String Guitar
  Program 026 | Jazz Guitar
  Program 027 | Clean Guitar
  Program 028 | Palm Muted Guitar
  Program 029 | Overdrive Guitar
  Program 030 | Distortion Guitar
  Program 031 | Guitar Harmonics
  Program 032 | Acoustic Bass
  Program 033 | Fingered Bass
  Program 034 | Picked Bass
  Program 035 | Fretless Bass
  Program 036 | Slap Bass
  Program 037 | Pop Bass
  Program 038 | Synth Bass 1
  Program 039 | Synth Bass 2
  Program 040 | Violin
  Program 041 | Viola
  Program 042 | Cello
  Program 043 | Contrabass
  Program 044 | Tremolo
  Program 045 | Pizzicato Section
  Program 046 | Harp
  Program 047 | Timpani
  Program 048 | Strings
  Program 049 | Slow Strings
  Program 050 | Synth Strings 1
  Program 051 | Synth Strings 2
  Program 052 | Ahh Choir
  Program 053 | Ohh Voices
  Program 054 | Synth Voice
  Program 055 | Orchestra Hit
  Program 056 | Trumpet
  Program 057 | Trombone
  Program 058 | Tuba
  Program 059 | Muted Trumpet
  Program 060 | French Horns
  Program 061 | Brass Section
  Program 062 | Synth Brass 1
  Program 063 | Synth Brass 2
  Program 064 | Soprano Sax
  Program 065 | Alto Sax
  Program 066 | Tenor Sax
  Program 067 | Baritone Sax
  Program 068 | Oboe
  Program 069 | English Horn
  Program 070 | Bassoon
  Program 071 | Clarinet
  Program 072 | Piccolo
  Program 073 | Flute
  Program 074 | Recorder
  Program 075 | Pan Flute
  Program 076 | Bottle Chiff
  Program 077 | Shakuhachi
  Program 078 | Whistle
  Program 079 | Ocarina
