         821178 function calls (821094 primitive calls) in 0.143 seconds

   Ordered by: cumulative time
   List reduced from 353 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.146    0.146 /Volumes/External/Code/Melodica/melodica/idea_tool.py:312(generate)
        1    0.000    0.000    0.063    0.063 /Volumes/External/Code/Melodica/melodica/idea_tool.py:947(_generate_all_tracks)
        5    0.002    0.000    0.063    0.013 /Volumes/External/Code/Melodica/melodica/idea_tool.py:780(_generate_track)
        8    0.005    0.001    0.040    0.005 /Volumes/External/Code/Melodica/melodica/generators/melody.py:243(render)
        1    0.001    0.001    0.029    0.029 /Volumes/External/Code/Melodica/melodica/composer/harmonic_verifier.py:413(verify_and_fix)
        2    0.013    0.006    0.023    0.012 /Volumes/External/Code/Melodica/melodica/composer/harmonic_verifier.py:112(detect_clashes)
        1    0.001    0.001    0.019    0.019 /Volumes/External/Code/Melodica/melodica/composer/psychoacoustic.py:442(psycho_verify)
        2    0.007    0.004    0.014    0.007 /Volumes/External/Code/Melodica/melodica/composer/psychoacoustic.py:206(detect_temporal_masking)
      625    0.001    0.000    0.012    0.000 /Volumes/External/Code/Melodica/melodica/generators/_melody_pitch.py:78(pick_pitch)
        2    0.004    0.002    0.010    0.005 /Volumes/External/Code/Melodica/melodica/composer/psychoacoustic.py:165(detect_frequency_masking)
        8    0.000    0.000    0.009    0.001 /Volumes/External/Code/Melodica/melodica/generators/_melody_rhythm.py:89(build_events)
        8    0.003    0.000    0.009    0.001 /Volumes/External/Code/Melodica/melodica/generators/_melody_rhythm.py:104(_build_groove_events)
        4    0.001    0.000    0.009    0.002 /Volumes/External/Code/Melodica/melodica/generators/chord_gen.py:90(render)
      680    0.003    0.000    0.007    0.000 /Volumes/External/Code/Melodica/melodica/generators/_melody_pitch.py:361(build_candidates)
        1    0.004    0.004    0.007    0.007 /Volumes/External/Code/Melodica/melodica/composer/harmonic_verifier.py:267(detect_parallel_fifths)
      358    0.005    0.000    0.007    0.000 {method 'sort' of 'list' objects}
        2    0.002    0.001    0.005    0.003 /Volumes/External/Code/Melodica/melodica/composer/psychoacoustic.py:252(detect_fusion)
   141896    0.005    0.000    0.005    0.000 {built-in method builtins.abs}
      256    0.001    0.000    0.005    0.000 /Volumes/External/Code/Melodica/melodica/generators/chord_gen.py:200(_best_inversion)
        4    0.000    0.000    0.005    0.001 /Volumes/External/Code/Melodica/melodica/_postprocess.py:206(apply_voice_leading)
        4    0.002    0.001    0.005    0.001 /Volumes/External/Code/Melodica/melodica/modifiers/voice_leading.py:45(modify)
     5181    0.003    0.000    0.005    0.000 /Volumes/External/Code/Melodica/melodica/types_pkg/_theory.py:371(pitch_classes)
    59432    0.004    0.000    0.005    0.000 {built-in method builtins.min}
    85826    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     2238    0.001    0.000    0.004    0.000 /Volumes/External/Code/Melodica/melodica/utils.py:244(snap_to_scale)
        1    0.001    0.001    0.004    0.004 /Volumes/External/Code/Melodica/melodica/_postprocess.py:99(apply_velocity_shaping)
    57471    0.004    0.000    0.004    0.000 /Volumes/External/Code/Melodica/melodica/composer/psychoacoustic.py:137(_temporal_masked)
     14/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1360(_find_and_load)
     1196    0.002    0.000    0.004    0.000 /Volumes/External/Code/Melodica/melodica/composer/harmonic_verifier.py:348(_try_transpose)
    26576    0.003    0.000    0.004    0.000 /Volumes/External/Code/Melodica/melodica/composer/harmonic_verifier.py:107(_interval)


